AFF_LOVE_POINT	نقاط الحب: %d%%
TOOLTIP_POTION_SEC	ثانية
TOOLTIP_POTION_TIME	مدة:
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s مستوى %d مطلوب
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d مطلوبة
TOOLTIP_RESIST_BOW	مقاومة السهم %d%%	SA
TOOLTIP_RESIST_DARK	مقاومة ضد الظلام +%d%%	SA
TOOLTIP_RESIST_EARTH	مقاومة الأرض +%d%%	SA
TOOLTIP_RESIST_ELEC	مقاومة البرق %d%%	SA
TOOLTIP_RESIST_FIRE	مقاومة النار %d%%	SA
TOOLTIP_RESIST_ICE	مقاومة الثلج +%d%%	SA
TOOLTIP_RESIST_MAGIC	مقاومة السحر %d%%	SA
TOOLTIP_REST_USABLE_COUNT	متبقي: %d
TOOLTIP_SELLPRICE	سعر: %s
TOOLTIP_SHAMAN	شامان
TOOLTIP_SHIELD	درع
TOOLTIP_SHOES	حذاء
TOOLTIP_SKILLBOOK_NAME	كتاب المهارات
TOOLTIP_SKILL_AFFECT_ATT_GRADE	قيمة الهجوم: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	قيمة الهجوم:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	سرعة الهجوم: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	دفاع:
TOOLTIP_SKILL_AFFECT_DODGE	قيمة هجوم العدو: -
TOOLTIP_SKILL_AFFECT_HEAL	استعادة نقاط الحياة:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	سرعة التحرك: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	فرصة عكس هجوم عن قرب:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	مقاومة ضد الأضرار الجسدية:
TOOLTIP_SKILL_COOL_TIME	مدة الشحن: 
TOOLTIP_SKILL_DAMAGE_BONUS	أضرار المهارة %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	مقاومة ضد أضرار المهارة %d%%	SA
TOOLTIP_SKILL_DURATION	المدة: %d ثانية
TOOLTIP_SKILL_FORGET_BOOK_NAME	كتاب النسيان
TOOLTIP_SKILL_LEVEL	المستوى الحالي: %d
TOOLTIP_SKILL_LEVEL_MASTER	المستوى الحالي: %d (الخبير)
TOOLTIP_SKILL_LEVEL_WITH_MAX	المستوى الحالي: %d (الحد الأقصى %d)
TOOLTIP_SOCKET_EMPTY	فارغ
TOOLTIP_SOCKET_REFINABLE_ITEM	[شيء مع مقبس]
TOOLTIP_SP_REGEN	تجديد نقاط الأسلوب +%d%%	SA
TOOLTIP_STR	قوة +%d	SA
TOOLTIP_SURA	سورا
TOOLTIP_TIME_CHARGER_FIX	مدة الشحن %d ثانية.	SA
TOOLTIP_TIME_CHARGER_PER	مدة الشحن %d%%	SA
TOOLTIP_UNIQUE	فريد من نوعه
TOOLTIP_WARRIOR	محارب
TOOLTIP_WEAPON	سلاح
TOOLTIP_WRISTLET	سوار
UI_ACCEPT	موافق
UI_CANCEL	إلغاء
UI_CLOSE	إغلاق
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	رفض
UI_ITEM	شيء
UI_LEFT_TIME	الوقت المتبقي: %d ثانية
UI_NEXT	التالي
UI_NEXTPAGE	تابع
UI_NOCONTENTS	بدون مُحتوى
UI_NONAME	لا يوجد اسم
UI_OK	موافق
UI_POS_UNKNOWN	مكان غير معروف
UI_PREVPAGE	الخلف
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	عليك إعادة التحميل من جديد.
USE_ITEM_FAILURE_PRIVATE_SHOP	لا يمكنك استعمال أي شيء، طالما أنك تملك متجراً شخصياً.
ITEM_GET	تم الحصول على: %s	SA
ITEM_GET_FROM_PARTY	تم الحصول على: %s من %s	SAA
ITEM_DELIVER_TO_PARTY	تم التسليم: %s إلى %s	SAA
